,filename,neck_twist,neck_bending,trunk_twist,trunk_bending,legs_supported,upperarm_abduction,upperarm_raised,upperarm_across,upperarm_supported,lowerarm_outbody,wrist_bending,wrist_twisted,wrist_twisted_end
0,F03_P001_A2_W001_D2022-08-25-10-42-30_0087.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
1,F01_P002_A2_W001_D2022-08-23-10-29-00_0160.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
2,F02_P001_A3_W001_D2022-08-24-11-14-35_0369.PNG,1,0,0,0,0,0,0,0,0,0,0,1,0
3,F04_P002_A1_W002_D2022-09-16-10-56-38_0599.PNG,1,0,0,1,0,0,0,0,0,1,0,0,0
4,F02_P001_A1_W001_D2022-08-24-11-15-55_0612.PNG,0,0,0,0,0,0,0,0,0,1,0,1,0
5,F02_P001_A1_W001_D2022-08-24-11-15-55_1370.PNG,1,0,0,0,0,0,0,0,0,0,0,1,0
6,F04_P001_A2_W001_D2022-09-16-10-13-12_2370.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
7,F01_P001_A3_W001_D2022-08-23-10-22-00_0369.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
8,F05_P001_A2_W001_D2022-09-23-10-04-45_0139.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
9,F04_P001_A2_W001_D2022-09-16-10-13-12_2530.PNG,1,1,0,0,0,0,0,0,0,1,0,1,0
10,F05_P001_A1_W001_D2022-09-23-10-31-57_0756.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
11,F01_P002_A2_W001_D2022-08-23-10-29-00_0149.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
12,F03_P001_A1_W001_D2022-08-25-10-32-05_0086.PNG,1,0,0,0,0,0,0,0,0,0,1,1,0
13,F04_P001_A2_W001_D2022-09-16-10-13-12_2431.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
14,F05_P001_A3_W001_D2022-09-23-10-07-45_0862.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
15,F01_P001_A2_W001_D2022-08-23-10-12-00_0144.PNG,0,0,0,1,0,0,0,0,0,1,0,0,0
16,F03_P001_A1_W001_D2022-08-25-10-32-05_0806.PNG,0,0,0,0,0,0,0,0,0,0,0,0,0
17,F04_P002_A1_W002_D2022-09-16-10-56-38_0968.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
18,F03_P001_A1_W001_D2022-08-25-10-32-05_0720.PNG,0,0,0,0,0,0,0,0,0,0,1,0,0
19,F04_P001_A1_W001_D2022-09-16-10-15-12_0090.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
20,F05_P001_A3_W001_D2022-09-23-10-07-45_0727.PNG,1,1,0,1,0,0,0,0,0,1,0,1,0
21,F03_P001_A2_W001_D2022-08-25-10-32-20_0882.PNG,0,0,0,0,0,0,0,0,0,0,0,0,0
22,F01_P003_A1_W001_D2022-08-23-10-39-00_0052.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
23,F03_P001_A2_W001_D2022-08-25-10-42-30_0656.PNG,0,0,0,0,0,0,0,0,0,0,1,0,0
24,F04_P001_A2_W001_D2022-09-16-10-13-12_1637.PNG,1,1,0,1,0,0,0,0,0,1,0,1,0
25,F01_P001_A2_W001_D2022-08-23-10-23-00_0415.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
26,F02_P001_A2_W001_D2022-08-24-11-14-47_1525.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
27,F05_P001_A3_W001_D2022-09-23-10-07-45_0164.PNG,1,0,0,0,0,1,0,0,0,1,0,1,0
28,F02_P001_A1_W001_D2022-08-24-11-15-55_0542.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
29,F04_P001_A1_W001_D2022-09-16-09-53-48_0207.PNG,1,1,1,0,0,0,0,0,0,1,0,1,0
30,F02_P001_A3_W001_D2022-08-24-11-14-35_1050.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
31,F05_P001_A3_W001_D2022-09-23-10-07-45_1097.PNG,1,1,0,1,0,0,0,0,0,1,0,1,0
32,F04_P001_A2_W001_D2022-09-16-10-13-12_2639.PNG,1,0,0,1,0,0,0,0,0,1,0,1,0
33,F01_P001_A1_W001_D2022-08-23-10-22-00_0444.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
34,F04_P002_A1_W002_D2022-09-16-10-56-38_0090.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
35,F01_P001_A1_W001_D2022-08-23-10-22-00_0685.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
36,F04_P001_A2_W001_D2022-09-16-10-13-12_1039.PNG,1,1,0,0,0,0,0,0,0,1,0,1,0
37,F03_P001_A2_W001_D2022-08-25-10-32-20_0039.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
38,F03_P002_A1_W002_D2022-08-25-11-08-08_0943.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
39,F04_P001_A2_W001_D2022-09-16-10-13-12_0112.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
40,F05_P001_A3_W001_D2022-09-23-10-07-45_0633.PNG,0,0,0,0,0,0,0,0,0,1,0,1,0
41,F04_P002_A1_W002_D2022-09-16-10-56-38_0469.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
42,F05_P001_A3_W001_D2022-09-23-10-07-45_1151.PNG,1,0,0,1,0,0,0,0,0,1,0,1,0
43,F01_P001_A3_W001_D2022-08-23-10-14-00_0230.PNG,0,0,0,0,1,0,0,0,0,1,0,0,0
44,F02_P001_A1_W001_D2022-08-24-11-15-55_1168.PNG,1,0,0,0,0,0,0,0,0,0,0,1,0
45,F02_P001_A2_W001_D2022-08-24-11-14-47_0104.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
46,F04_P002_A1_W002_D2022-09-16-10-56-38_1038.PNG,1,0,0,1,0,0,0,0,0,1,0,1,0
47,F01_P001_A2_W001_D2022-08-23-10-23-00_0406.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
48,F04_P001_A2_W001_D2022-09-16-10-13-12_1022.PNG,1,1,1,1,0,0,0,0,0,1,0,0,0
49,F04_P001_A1_W001_D2022-09-16-10-15-12_0286.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
50,F03_P001_A1_W001_D2022-09-30-13-09-04_0785.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
51,F02_P001_A2_W001_D2022-08-24-11-14-47_0142.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
52,F05_P001_A3_W001_D2022-09-23-10-23-27_0527.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
53,F04_P001_A1_W001_D2022-09-16-10-15-12_0342.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
54,F02_P002_A2_W002_D2022-08-24-11-30-31_0186.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
55,F02_P001_A1_W001_D2022-08-24-11-15-55_0626.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
56,F03_P001_A2_W001_D2022-08-25-10-32-20_0690.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
57,F04_P001_A2_W001_D2022-09-16-10-13-12_0751.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
58,F02_P001_A3_W001_D2022-08-24-11-14-35_1119.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
59,F03_P001_A2_W001_D2022-08-25-10-42-30_0154.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
60,F04_P002_A1_W002_D2022-09-16-10-56-38_0842.PNG,1,0,1,0,0,0,0,0,0,1,0,0,0
61,F02_P001_A3_W001_D2022-08-24-11-14-35_1703.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
62,F01_P001_A2_W001_D2022-08-23-10-23-00_0702.PNG,1,1,0,1,0,0,0,0,0,1,0,0,0
63,F05_P001_A3_W001_D2022-09-23-10-07-45_0419.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
64,F04_P002_A1_W002_D2022-09-16-10-56-38_0826.PNG,1,0,0,1,0,0,0,0,0,1,0,1,0
65,F05_P001_A2_W001_D2022-09-23-10-04-45_0049.PNG,0,0,0,0,0,0,0,0,0,1,0,1,0
66,F03_P002_A1_W002_D2022-08-25-11-08-08_0456.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
67,F04_P002_A1_W002_D2022-09-16-10-56-38_0580.PNG,1,0,0,1,0,0,0,0,0,1,0,1,0
68,F05_P001_A1_W001_D2022-09-23-10-31-57_0718.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
69,F04_P001_A1_W001_D2022-09-16-09-53-48_0948.PNG,1,0,0,0,0,0,0,0,0,1,0,0,0
70,F05_P001_A1_W001_D2022-09-23-10-09-01_0396.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
71,F03_P001_A2_W001_D2022-08-25-10-32-20_0245.PNG,0,0,0,0,0,0,0,0,0,0,1,0,0
72,F01_P001_A1_W001_D2022-08-23-10-12-00_0531.PNG,0,0,0,1,1,0,0,0,0,1,0,0,0
73,F03_P001_A2_W001_D2022-08-25-10-32-20_0668.PNG,0,0,0,0,0,0,0,0,0,1,0,0,0
74,F03_P001_A2_W001_D2022-08-25-10-42-30_0797.PNG,1,0,0,0,0,0,0,0,0,0,1,0,0
75,F02_P001_A3_W001_D2022-08-24-11-14-35_1252.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
76,F03_P001_A2_W001_D2022-08-25-10-42-30_0301.PNG,0,0,0,0,0,0,0,0,0,0,0,0,0
77,F04_P002_A1_W002_D2022-09-16-10-56-38_0801.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
78,F05_P001_A1_W001_D2022-09-23-10-31-57_0201.PNG,1,0,0,0,0,0,0,0,0,1,0,1,0
